seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1103166	1103186	21	*	X00099	406983	1103243	1103332	90	+	56	upstream	56	MIR200A
chr1	1103166	1103186	21	*	X00099	554210	1104385	1104467	83	+	1198	upstream	1198	MIR429
chr1	1108528	1108632	105	*	X00103	254173	1109286	1133313	24028	+	653	upstream	653	TTLL10
chr1	1109481	1109641	161	*	X00104	254173	1109286	1133313	24028	+	0	inside	194	TTLL10
chr1	1143532	1143564	33	*	X00112	8784	1138888	1142089	3202	-	1442	upstream	1442	TNFRSF18
chr1	1144013	1144184	172	*	X00113	8784	1138888	1142089	3202	-	1923	upstream	1923	TNFRSF18
chr1	1150722	1150811	90	*	X00116	7293	1146706	1149548	2843	-	1173	upstream	1173	TNFRSF4
chr1	1182483	1182531	49	*	X00124	388581	1177826	1182102	4277	-	380	upstream	380	C1QTNF12
chr1	1183272	1183391	120	*	X00125	388581	1177826	1182102	4277	-	1169	upstream	1169	C1QTNF12
chr1	1209458	1209599	142	*	X00137	118424	1189292	1209234	19943	-	223	upstream	223	UBE2J2
chr1	1209904	1209967	64	*	X00138	118424	1189292	1209234	19943	-	669	upstream	669	UBE2J2
chr1	1210545	1210694	150	*	X00139	118424	1189292	1209234	19943	-	1310	upstream	1310	UBE2J2
chr1	1210875	1210994	120	*	X00140	118424	1189292	1209234	19943	-	1640	upstream	1640	UBE2J2
chr1	1242550	1242654	105	*	X00163	126789	1243994	1247057	3064	+	1339	upstream	1339	PUSL1
chr1	1243000	1243074	75	*	X00164	126789	1243994	1247057	3064	+	919	upstream	919	PUSL1
chr1	1244950	1245054	105	*	X00165	116983	1227764	1244989	17226	-	0	overlapStart	0	ACAP3
chr1	1246082	1246201	120	*	X00166	116983	1227764	1244989	17226	-	1092	upstream	1092	ACAP3
chr1	1246502	1246606	105	*	X00167	116983	1227764	1244989	17226	-	1512	upstream	1512	ACAP3
chr1	1246707	1246726	20	*	X00168	116983	1227764	1244989	17226	-	1717	upstream	1717	ACAP3
chr1	1335755	1335874	120	*	X00196	81669	1321091	1334718	13628	-	1036	upstream	1036	CCNL2
chr1	1357530	1357683	154	*	X00202	441869	1353800	1356824	3025	-	705	upstream	705	ANKRD65
chr1	1361310	1361639	330	*	X00203	643965	1361508	1363167	1660	+	0	overlapStart	0	TMEM88B
chr1	1369462	1369596	135	*	X00213	64856	1370903	1378262	7360	+	1306	upstream	1306	VWA1
chr1	1370107	1370226	120	*	X00214	64856	1370903	1378262	7360	+	676	upstream	676	VWA1
chr1	1405212	1405376	165	*	X00218	83858	1407164	1444689	37526	+	1787	upstream	1787	ATAD3B
chr1	1405983	1406102	120	*	X00219	83858	1407164	1444689	37526	+	1061	upstream	1061	ATAD3B
chr1	1406307	1406516	210	*	X00220	83858	1407164	1444689	37526	+	647	upstream	647	ATAD3B
chr1	1446979	1447098	120	*	X00222	55210	1447523	1470067	22545	+	424	upstream	424	ATAD3A
chr1	1566378	1566452	75	*	X00241	8510	1567560	1570030	2471	+	1107	upstream	1107	MMP23B
chr1	1566532	1566916	385	*	X00242	8510	1567560	1570030	2471	+	643	upstream	643	MMP23B
chr1	1567192	1567294	103	*	X00243	8510	1567560	1570030	2471	+	265	upstream	265	MMP23B
chr1	1712999	1713133	135	*	X00251	65220	1682671	1711508	28838	-	1490	upstream	1490	NADK
chr1	1949024	1949158	135	*	X00274	2563	1950768	1962192	11425	+	1609	upstream	1609	GABRD
chr1	1950179	1950283	105	*	X00275	2563	1950768	1962192	11425	+	484	upstream	484	GABRD
chr1	2140486	2140710	225	*	X00305	199990	2115899	2139172	23274	-	1313	upstream	1313	FAAP20
chr1	2344909	2345028	120	*	X00348	5192	2336241	2344010	7770	-	898	upstream	898	PEX10
chr1	2406115	2406174	60	*	X00360	9651	2407754	2436969	29216	+	1579	upstream	1579	PLCH2
chr1	2406760	2406869	110	*	X00361	9651	2407754	2436969	29216	+	884	upstream	884	PLCH2
chr1	2407000	2407104	105	*	X00362	9651	2407754	2436969	29216	+	649	upstream	649	PLCH2
chr1	2407705	2407794	90	*	X00363	9651	2407754	2436969	29216	+	0	overlapStart	0	PLCH2
chr1	2459798	2460052	255	*	X00371	55229	2439975	2458035	18061	-	1762	upstream	1762	PANK4
chr1	2462483	2462542	60	*	X00374	388585	2460184	2461684	1501	-	798	upstream	798	HES5
chr1	2462663	2462756	94	*	X00375	388585	2460184	2461684	1501	-	978	upstream	978	HES5
chr1	2517495	2517614	120	*	X00390	127281	2517899	2522908	5010	+	284	upstream	284	PRXL2B
chr1	3567435	3567509	75	*	X00438	49856	3547331	3566671	19341	-	763	upstream	763	WRAP73
chr1	3567435	3567509	75	*	X00438	7161	3569129	3652765	83637	+	1619	upstream	1619	TP73
chr1	3663507	3663656	150	*	X00464	57212	3652548	3663937	11390	-	0	inside	280	TP73-AS1
chr1	3664101	3664121	21	*	X00465	57212	3652548	3663937	11390	-	163	upstream	163	TP73-AS1
chr1	3774387	3774566	180	*	X00474	9731	3728645	3773797	45153	-	589	upstream	589	CEP104
chr1	3816553	3816732	180	*	X00479	100133612	3816968	3833879	16912	+	235	upstream	235	LINC01134
chr1	3816553	3816732	180	*	X00479	339448	3805697	3816857	11161	-	0	inside	124	C1orf174
chr1	3817724	3817803	80	*	X00480	339448	3805697	3816857	11161	-	866	upstream	866	C1orf174
chr1	6051125	6051223	99	*	X00498	8514	6052358	6161253	108896	+	1134	upstream	1134	KCNAB2
chr1	6053574	6053731	158	*	X00499	261734	5922870	6052533	129664	-	1040	upstream	1040	NPHP4
chr1	6054159	6054263	105	*	X00500	261734	5922870	6052533	129664	-	1625	upstream	1625	NPHP4
chr1	6240879	6240968	90	*	X00515	26038	6161847	6240194	78348	-	684	upstream	684	CHD5
chr1	6241689	6241793	105	*	X00516	26038	6161847	6240194	78348	-	1494	upstream	1494	CHD5
chr1	6265074	6265193	120	*	X00517	388591	6266189	6281359	15171	+	995	upstream	995	RNF207
chr1	6265485	6265574	90	*	X00518	388591	6266189	6281359	15171	+	614	upstream	614	RNF207
chr1	6297975	6298034	60	*	X00529	23463	6281253	6296044	14792	-	1930	upstream	1930	ICMT
chr1	6302400	6302472	73	*	X00532	390992	6304252	6305638	1387	+	1779	upstream	1779	HES3
chr1	6303929	6304198	270	*	X00533	390992	6304252	6305638	1387	+	53	upstream	53	HES3
chr1	6304319	6304408	90	*	X00534	390992	6304252	6305638	1387	+	0	inside	66	HES3
chr1	6304499	6304618	120	*	X00535	390992	6304252	6305638	1387	+	0	inside	246	HES3
chr1	6321218	6321237	20	*	X00543	387509	6307406	6321035	13630	-	182	upstream	182	GPR153
chr1	6321673	6321836	164	*	X00544	387509	6307406	6321035	13630	-	637	upstream	637	GPR153
chr1	6321936	6321942	7	*	X00545	387509	6307406	6321035	13630	-	900	upstream	900	GPR153
chr1	6453921	6453976	56	*	X00579	11332	6324332	6453826	129495	-	94	upstream	94	ACOT7
chr1	6483818	6483982	165	*	X00583	83715	6484848	6521004	36157	+	865	upstream	865	ESPN
chr1	6484067	6484186	120	*	X00584	83715	6484848	6521004	36157	+	661	upstream	661	ESPN
chr1	6490177	6490267	91	*	X00585	100422975	6489894	6489956	63	-	220	upstream	220	MIR4252
chr1	6526362	6526481	120	*	X00608	8718	6521214	6526255	5042	-	106	upstream	106	TNFRSF25
chr1	6663065	6663076	12	*	X00636	9903	6650779	6662929	12151	-	135	upstream	135	KLHL21
chr1	6673307	6673381	75	*	X00638	148479	6673756	6684093	10338	+	374	upstream	374	PHF13
chr1	6682940	6683074	135	*	X00640	90326	6684925	6695646	10722	+	1850	upstream	1850	THAP3
chr1	6844744	6844863	120	*	X00649	23261	6845384	7829766	984383	+	520	upstream	520	CAMTA1
chr1	7830942	7831076	135	*	X00690	9341	7831329	7841492	10164	+	252	upstream	252	VAMP3
chr1	7831182	7831207	26	*	X00691	9341	7831329	7841492	10164	+	121	upstream	121	VAMP3
chr1	7843482	7843511	30	*	X00692	8863	7844380	7905237	60858	+	868	upstream	868	PER3
chr1	8085996	8086203	208	*	X00695	54206	8071779	8086393	14615	-	0	inside	189	ERRFI1
chr1	8877300	8877419	120	*	X00730	473	8412464	8877699	465236	-	0	inside	279	RERE
chr1	8877585	8877706	122	*	X00731	473	8412464	8877699	465236	-	0	overlapStart	0	RERE
chr1	9189579	9189755	177	*	X00754	80045	9164476	9189229	24754	-	349	upstream	349	GPR157
chr1	9351702	9351716	15	*	X00774	80176	9352941	9429590	76650	+	1224	upstream	1224	SPSB1
chr1	9648594	9648631	38	*	X00816	199953	9648932	9674935	26004	+	300	upstream	300	TMEM201
chr1	9884338	9884375	38	*	X00838	22883	9789079	9884550	95472	-	0	inside	174	CLSTN1
chr1	9970692	9970792	101	*	X00846	56998	9908334	9970316	61983	-	375	upstream	375	CTNNBIP1
chr1	10056431	10056550	120	*	X00847	116362	10057255	10076078	18824	+	704	upstream	704	RBP7
chr1	10057136	10057270	135	*	X00848	116362	10057255	10076078	18824	+	0	overlapStart	0	RBP7
chr1	10093092	10093284	193	*	X00849	10277	10093041	10241296	148256	+	0	inside	50	UBE4B
chr1	10532191	10532325	135	*	X00861	1676	10520603	10532613	12011	-	0	inside	287	DFFA
chr1	10856864	10856911	48	*	X00919	54897	10696666	10856733	160068	-	130	upstream	130	CASZ1
chr1	11071355	11071367	13	*	X00951	23435	11072679	11085549	12871	+	1311	upstream	1311	TARDBP
chr1	11120850	11120969	120	*	X00964	6723	11114649	11120091	5443	-	758	upstream	758	SRM
chr1	11160039	11160156	118	*	X00966	5394	11126676	11159938	33263	-	100	upstream	100	EXOSC10
chr1	11537476	11537610	135	*	X01003	57540	11539295	11597640	58346	+	1684	upstream	1684	DISP3
chr1	11538938	11538942	5	*	X01004	57540	11539295	11597640	58346	+	352	upstream	352	DISP3
chr1	11713255	11713372	118	*	X01049	93611	11714432	11723384	8953	+	1059	upstream	1059	FBXO44
chr1	11751106	11751240	135	*	X01061	374946	11751781	11780336	28556	+	540	upstream	540	DRAXIN
chr1	11751817	11751975	159	*	X01062	374946	11751781	11780336	28556	+	0	inside	35	DRAXIN
chr1	11751817	11751975	159	*	X01062	10459	11734537	11751678	17142	-	138	upstream	138	MAD2L2
chr1	11752987	11753136	150	*	X01063	10459	11734537	11751678	17142	-	1308	upstream	1308	MAD2L2
chr1	11864961	11865080	120	*	X01084	1185	11866153	11903201	37049	+	1072	upstream	1072	CLCN6
chr1	11866431	11866610	180	*	X01085	1185	11866153	11903201	37049	+	0	inside	277	CLCN6
chr1	11866431	11866610	180	*	X01085	4524	11845787	11866160	20374	-	270	upstream	270	MTHFR
chr1	11907794	11907898	105	*	X01090	4878	11905767	11907840	2074	-	0	overlapStart	0	NPPA
chr1	11909699	11909788	90	*	X01091	4878	11905767	11907840	2074	-	1858	upstream	1858	NPPA
chr1	11994706	11994799	94	*	X01102	5351	11994724	12035599	40876	+	0	overlapStart	0	PLOD1
chr1	11994935	11995039	105	*	X01103	5351	11994724	12035599	40876	+	0	inside	210	PLOD1
chr1	12078101	12078175	75	*	X01115	60672	12079299	12092106	12808	+	1123	upstream	1123	MIIP
chr1	12079037	12079039	3	*	X01116	60672	12079299	12092106	12808	+	259	upstream	259	MIIP
chr1	12677827	12677886	60	*	X01152	9249	12627939	12677820	49882	-	6	upstream	6	DHRS3
chr1	12679687	12679806	120	*	X01153	9249	12627939	12677820	49882	-	1866	upstream	1866	DHRS3
chr1	13910312	13910446	135	*	X01154	10630	13910252	13944452	34201	+	0	inside	59	PDPN
chr1	14924670	14924773	104	*	X01165	23254	14925213	15444544	519332	+	439	upstream	439	KAZN
chr1	14924925	14924969	45	*	X01166	23254	14925213	15444544	519332	+	243	upstream	243	KAZN
chr1	15478061	15478135	75	*	X01209	55092	15479028	15546974	67947	+	892	upstream	892	TMEM51
chr1	15478601	15478705	105	*	X01210	55092	15479028	15546974	67947	+	322	upstream	322	TMEM51
chr1	15478601	15478705	105	*	X01210	200197	15438311	15478960	40650	-	0	inside	254	TMEM51-AS1
chr1	15573192	15573311	120	*	X01223	114827	15573768	15726778	153011	+	456	upstream	456	FHAD1
chr1	15781113	15781247	135	*	X01235	63036	15783223	15798586	15364	+	1975	upstream	1975	CELA2A
chr1	15800480	15800644	165	*	X01237	51032	15802596	15817895	15300	+	1951	upstream	1951	CELA2B
chr1	15851657	15851719	63	*	X01243	842	15817324	15851285	33962	-	371	upstream	371	CASP9
chr1	15851657	15851719	63	*	X01243	23341	15853352	15918874	65523	+	1632	upstream	1632	DNAJC16
chr1	15851810	15851944	135	*	X01244	842	15817324	15851285	33962	-	524	upstream	524	CASP9
chr1	15851810	15851944	135	*	X01244	23341	15853352	15918874	65523	+	1407	upstream	1407	DNAJC16
chr1	15851960	15852064	105	*	X01245	842	15817324	15851285	33962	-	674	upstream	674	CASP9
chr1	15851960	15852064	105	*	X01245	23341	15853352	15918874	65523	+	1287	upstream	1287	DNAJC16
chr1	15853603	15853737	135	*	X01246	23341	15853352	15918874	65523	+	0	inside	250	DNAJC16
chr1	15943360	15943494	135	*	X01250	84301	15943953	15987552	43600	+	458	upstream	458	DDI2
chr1	15944012	15944109	98	*	X01251	84301	15943953	15987552	43600	+	0	inside	58	DDI2
chr1	16009255	16009374	120	*	X01253	23207	16010827	16061264	50438	+	1452	upstream	1452	PLEKHM2
chr1	16009983	16010399	417	*	X01254	23207	16010827	16061264	50438	+	427	upstream	427	PLEKHM2
chr1	16062068	16062187	120	*	X01265	284723	16062809	16067884	5076	+	621	upstream	621	SLC25A34
chr1	16062398	16062532	135	*	X01266	284723	16062809	16067884	5076	+	276	upstream	276	SLC25A34
chr1	16082486	16082516	31	*	X01270	54751	16083154	16113084	29931	+	637	upstream	637	FBLIM1
chr1	16175001	16175044	44	*	X01280	729614	16160710	16174642	13933	-	358	upstream	358	FLJ37453
chr1	16175300	16175449	150	*	X01281	729614	16160710	16174642	13933	-	657	upstream	657	FLJ37453
chr1	16176105	16176209	105	*	X01282	729614	16160710	16174642	13933	-	1462	upstream	1462	FLJ37453
chr1	16301983	16302417	435	*	X01290	7709	16268364	16302627	34264	-	0	inside	209	ZBTB17
chr1	16343442	16343621	180	*	X01297	1187	16345370	16360545	15176	+	1748	upstream	1748	CLCNKA
chr1	16353546	16353680	135	*	X01299	1188	16355621	16383821	28201	+	1940	upstream	1940	CLCNKB
chr1	16353733	16353798	66	*	X01300	1188	16355621	16383821	28201	+	1822	upstream	1822	CLCNKB
chr1	16355072	16355165	94	*	X01301	1188	16355621	16383821	28201	+	455	upstream	455	CLCNKB
chr1	16563778	16563814	37	*	X01339	79363	16558182	16563659	5478	-	118	upstream	118	CPLANE2
chr1	16679703	16679782	80	*	X01342	54455	16576559	16678948	102390	-	754	upstream	754	FBXO42
chr1	16693755	16693815	61	*	X01343	26099	16693525	16724643	31119	+	0	inside	229	SZRD1
chr1	17307797	17307961	165	*	X01390	4237	17300999	17308081	7083	-	0	inside	119	MFAP2
chr1	17446898	17446927	30	*	X01395	11240	17393256	17445948	52693	-	949	upstream	949	PADI2
chr1	17765870	17765959	90	*	X01408	55920	17733251	17766250	33000	-	0	inside	290	RCC2
chr1	17766215	17766231	17	*	X01409	55920	17733251	17766250	33000	-	0	inside	18	RCC2
chr1	17767158	17767277	120	*	X01410	55920	17733251	17766250	33000	-	907	upstream	907	RCC2
chr1	18432531	18432631	101	*	X01449	84966	18434240	18704977	270738	+	1608	upstream	1608	IGSF21
chr1	18433956	18434072	117	*	X01450	84966	18434240	18704977	270738	+	167	upstream	167	IGSF21
chr1	19231033	19231221	189	*	X01517	8659	19197924	19229293	31370	-	1739	upstream	1739	ALDH4A1
chr1	19811548	19811935	388	*	X01569	832	19665267	19812066	146800	-	0	inside	130	CAPZB
chr1	19812398	19812547	150	*	X01570	832	19665267	19812066	146800	-	331	upstream	331	CAPZB
chr1	20142988	20143137	150	*	X01582	54546	20140522	20141771	1250	-	1216	upstream	1216	RNF186
chr1	20511371	20511408	38	*	X01587	127733	20512578	20519942	7365	+	1169	upstream	1169	UBXN10
chr1	20617277	20617396	120	*	X01592	127731	20617412	20681387	63976	+	15	upstream	15	VWA5B1
chr1	20812318	20812722	405	*	X01613	55450	20808884	20812728	3845	-	0	inside	5	CAMK2N1
chr1	20812732	20812871	140	*	X01614	55450	20808884	20812728	3845	-	3	upstream	3	CAMK2N1
chr1	20835526	20835660	135	*	X01615	79594	20825941	20834674	8734	-	851	upstream	851	MUL1
chr1	20878336	20878485	150	*	X01616	163933	20878932	20881513	2582	+	446	upstream	446	FAM43B
chr1	21060438	21060527	90	*	X01632	400745	21046225	21059330	13106	-	1107	upstream	1107	SH2D5
chr1	21113449	21113523	75	*	X01637	50809	21069171	21113799	44629	-	0	inside	275	HP1BP3
chr1	21504151	21504255	105	*	X01641	8672	21132785	21503381	370597	-	769	upstream	769	EIF4G3
chr1	21618676	21618840	165	*	X01648	100506801	21619783	21626362	6580	+	942	upstream	942	ECE1-AS1
chr1	21673933	21674052	120	*	X01661	1889	21543740	21672034	128295	-	1898	upstream	1898	ECE1
chr1	22379391	22379528	138	*	X01693	998	22379120	22419436	40317	+	0	inside	270	CDC42
chr1	23521873	23521947	75	*	X01780	3352	23518388	23521222	2835	-	650	upstream	650	HTR1D
chr1	23670552	23670769	218	*	X01789	10236	23636276	23670853	34578	-	0	inside	83	HNRNPR
chr1	23671192	23671230	39	*	X01790	10236	23636276	23670853	34578	-	338	upstream	338	HNRNPR
chr1	23671711	23671815	105	*	X01791	10236	23636276	23670853	34578	-	857	upstream	857	HNRNPR
chr1	23671880	23671954	75	*	X01792	10236	23636276	23670853	34578	-	1026	upstream	1026	HNRNPR
chr1	23693971	23694060	90	*	X01793	148898	23695464	23698330	2867	+	1403	upstream	1403	ZNF436-AS1
chr1	23810990	23811289	300	*	X01805	55616	23755056	23811057	56002	-	0	overlapStart	0	ASAP3
chr1	23857735	23857756	22	*	X01813	1870	23832920	23857712	24793	-	22	upstream	22	E2F2
chr1	23886254	23886403	150	*	X01821	3399	23884421	23886285	1865	-	0	overlapStart	0	ID3
chr1	23886764	23886868	105	*	X01822	3399	23884421	23886285	1865	-	478	upstream	478	ID3
chr1	24126996	24127272	277	*	X01836	2582	24122089	24127294	5206	-	0	inside	21	GALE
chr1	24285739	24285948	210	*	X01841	55629	24286301	24289949	3649	+	352	upstream	352	PNRC2
chr1	24514565	24514651	87	*	X01847	163702	24480647	24513765	33119	-	799	upstream	799	IFNLR1
chr1	24645047	24645115	69	*	X01853	57822	24645812	24690970	45159	+	696	upstream	696	GRHL3
chr1	24645733	24645775	43	*	X01854	57822	24645812	24690970	45159	+	36	upstream	36	GRHL3
chr1	24828721	24828840	120	*	X01864	11123	24828841	24863510	34670	+	0	upstream	0	RCAN3
chr1	24828721	24828840	120	*	X01864	100750325	24822823	24828850	6028	-	0	inside	9	RCAN3AS
chr1	24968541	24968630	90	*	X01867	10250	24969594	24999772	30179	+	963	upstream	963	SRRM1
chr1	25071485	25071570	86	*	X01875	25932	25071760	25170815	99056	+	189	upstream	189	CLIC4
chr1	25293364	25293461	98	*	X01883	864	25226002	25291612	65611	-	1751	upstream	1751	RUNX3
chr1	25559610	25559699	90	*	X01897	25949	25548767	25559013	10247	-	596	upstream	596	SYF2
chr1	25665118	25665222	105	*	X01901	57035	25568740	25664656	95917	-	461	upstream	461	RSRP1
chr1	25758193	25758202	10	*	X01903	6006	25688740	25756683	67944	-	1509	upstream	1509	RHCE
chr1	26125215	26125304	90	*	X01942	57190	26126667	26144713	18047	+	1362	upstream	1362	SELENON
chr1	26144984	26145067	84	*	X01947	56181	26146397	26159433	13037	+	1329	upstream	1329	MTFR1L
chr1	26185429	26185623	195	*	X01953	79000	26160497	26185848	25352	-	0	inside	224	AUNIP
chr1	26187709	26187873	165	*	X01954	79000	26160497	26185848	25352	-	1860	upstream	1860	AUNIP
chr1	26197969	26198058	90	*	X01956	164091	26187975	26197744	9770	-	224	upstream	224	PAQR7
chr1	26233226	26233345	120	*	X01964	100500808	26232853	26232945	93	-	280	upstream	280	MIR3917
chr1	26233226	26233345	120	*	X01964	3925	26210677	26233368	22692	-	0	inside	22	STMN1
chr1	26324244	26324408	165	*	X01969	5051	26286258	26324648	38391	-	0	inside	239	PAFAH2
chr1	26325879	26325914	36	*	X01970	5051	26286258	26324648	38391	-	1230	upstream	1230	PAFAH2
chr1	26326614	26326718	105	*	X01971	5051	26286258	26324648	38391	-	1965	upstream	1965	PAFAH2
chr1	26347044	26347163	120	*	X01973	2134	26348271	26362954	14684	+	1107	upstream	1107	EXTL1
chr1	26347695	26347814	120	*	X01974	2134	26348271	26362954	14684	+	456	upstream	456	EXTL1
chr1	26373099	26373233	135	*	X01980	7780	26364514	26372604	8091	-	494	upstream	494	SLC30A2
chr1	26504056	26504171	116	*	X01989	10256	26503981	26516375	12395	+	0	inside	74	CNKSR1
chr1	26517148	26517312	165	*	X01991	378807	26517119	26529033	11915	+	0	inside	28	CATSPER4
chr1	26517337	26517441	105	*	X01992	378807	26517119	26529033	11915	+	0	inside	217	CATSPER4
chr1	26560668	26560799	132	*	X01996	64793	26560693	26605299	44607	+	0	overlapStart	0	CEP85
chr1	26642949	26643009	61	*	X02008	1043	26644411	26647014	2604	+	1401	upstream	1401	CD52
chr1	26735624	26735743	120	*	X02017	79727	26737269	26756219	18951	+	1525	upstream	1525	LIN28A
chr1	26736654	26736688	35	*	X02018	79727	26737269	26756219	18951	+	580	upstream	580	LIN28A
chr1	26736784	26736803	20	*	X02019	79727	26737269	26756219	18951	+	465	upstream	465	LIN28A
chr1	26736849	26736938	90	*	X02020	79727	26737269	26756219	18951	+	330	upstream	330	LIN28A
chr1	26737136	26737285	150	*	X02021	79727	26737269	26756219	18951	+	0	overlapStart	0	LIN28A
chr1	26798217	26798336	120	*	X02031	3151	26798902	26803133	4232	+	565	upstream	565	HMGN2
chr1	26798677	26798767	91	*	X02032	3151	26798902	26803133	4232	+	134	upstream	134	HMGN2
chr1	26855938	26856034	97	*	X02039	6195	26856249	26901520	45272	+	214	upstream	214	RPS6KA1
chr1	27022241	27022330	90	*	X02042	8289	27022522	27108601	86080	+	191	upstream	191	ARID1A
chr1	27217301	27217405	105	*	X02059	54707	27205873	27216869	10997	-	431	upstream	431	GPN2
chr1	27320227	27320423	197	*	X02063	388610	27320195	27327377	7183	+	0	inside	31	TRNP1
chr1	27481261	27481480	220	*	X02091	6548	27425300	27481621	56322	-	0	inside	140	SLC9A1
chr1	27560695	27560805	111	*	X02093	23038	27561007	27635124	74118	+	201	upstream	201	WDTC1
chr1	27710475	27710499	25	*	X02116	388611	27705596	27709805	4210	-	669	upstream	669	CD164L2
chr1	27718485	27718694	210	*	X02117	2827	27719148	27722317	3170	+	453	upstream	453	GPR3
chr1	27818426	27818545	120	*	X02126	10163	27730734	27816678	85945	-	1747	upstream	1747	WASF2
chr1	27930180	27930312	133	*	X02201	27245	27860756	27930361	69606	-	0	inside	48	AHDC1
chr1	27930373	27930492	120	*	X02202	27245	27860756	27930361	69606	-	11	upstream	11	AHDC1
chr1	27930841	27930851	11	*	X02203	27245	27860756	27930361	69606	-	479	upstream	479	AHDC1
chr1	27930927	27931256	330	*	X02204	27245	27860756	27930361	69606	-	565	upstream	565	AHDC1
chr1	27961723	27961732	10	*	X02209	2268	27938801	27961727	22927	-	0	overlapStart	0	FGR
chr1	28098729	28098782	54	*	X02220	23673	28099694	28150963	51270	+	911	upstream	911	STX12
chr1	28285950	28286069	120	*	X02226	55113	28286504	28294604	8101	+	434	upstream	434	XKR8
chr1	28414851	28414970	120	*	X02232	2140	28296855	28415148	118294	-	0	inside	177	EYA3
chr1	28585343	28585360	18	*	X02238	83667	28585963	28609002	23040	+	602	upstream	602	SESN2
chr1	28878021	28878095	75	*	X02246	54952	28879529	28905057	25529	+	1433	upstream	1433	TRNAU1AP
chr1	29062988	29063107	120	*	X02254	51441	29063133	29096287	33155	+	25	upstream	25	YTHDF2
chr1	29138472	29138501	30	*	X02262	4985	29138654	29190208	51555	+	152	upstream	152	OPRD1
chr1	29212959	29213063	105	*	X02277	2035	29213603	29446558	232956	+	539	upstream	539	EPB41
chr1	29213297	29213446	150	*	X02278	2035	29213603	29446558	232956	+	156	upstream	156	EPB41
chr1	29450545	29450656	112	*	X02294	399474	29445937	29450421	4485	-	123	upstream	123	TMEM200B
chr1	29451632	29451901	270	*	X02295	399474	29445937	29450421	4485	-	1210	upstream	1210	TMEM200B
chr1	29558416	29558422	7	*	X02303	51102	29519385	29557454	38070	-	961	upstream	961	MECR
chr1	31190743	31190972	230	*	X02375	100129196	31191619	31199593	7975	+	646	upstream	646	MATN1-AS1
chr1	31442225	31442320	96	*	X02409	692200	31441010	31441084	75	-	1140	upstream	1140	SNORD103C
chr1	31769982	31770116	135	*	X02439	51538	31769842	31837780	67939	+	0	inside	139	ZCCHC17
chr1	31769982	31770116	135	*	X02439	9410	31732415	31769644	37230	-	337	upstream	337	SNRNP40
chr1	31846528	31846613	86	*	X02441	2170	31838100	31845923	7824	-	604	upstream	604	FABP3
chr1	31846704	31846722	19	*	X02442	2170	31838100	31845923	7824	-	780	upstream	780	FABP3
chr1	31847638	31847757	120	*	X02443	2170	31838100	31845923	7824	-	1714	upstream	1714	FABP3
chr1	32040883	32040987	105	*	X02458	64129	32042086	32053287	11202	+	1098	upstream	1098	TINAGL1
chr1	32171117	32171198	82	*	X02482	1307	32117848	32169768	51921	-	1348	upstream	1348	COL16A1
chr1	32224159	32224488	330	*	X02492	100423028	32224261	32224336	76	-	0	includeFeature	0	MIR4254
chr1	32224924	32225103	180	*	X02493	100423028	32224261	32224336	76	-	587	upstream	587	MIR4254
